DR Number,Address,Cross Street,Location 
100211434,SUNSET                       BL,ECHO PARK,"(34.0768, -118.2573)"
100211447,BENTON                       AV,TEMPLE                       ST,"(34.0729, -118.2757)"
100211458,3RD                          ST,BURLINGTON,"(34.0613, -118.2689)"
100211465,HELIOTROPE,OAKWOOD,"(34.0777, -118.2956)"
100211474,UNION                        AV,3RD                          ST,"(34.0601, -118.2684)"
100211483,BURLINGTON                   AV,4TH                          ST,"(34.0605, -118.2694)"
100211502,TEMPLE                       ST,BIXEL                        ST,"(34.0659, -118.2538)"
100211506,BURLINGTON                   AV,PICO                         BL,"(34.044, -118.28)"
100211535,8TH                          ST,ALVARADO                     ST,"(34.0549, -118.2778)"
100211539,DILLON                       ST,TEMPLE                       ST,"(34.0753, -118.2812)"
100211549,MELROSE                      AV,VERMONT                      AV,"(34.0836, -118.2917)"
100211551,9TH                          ST,ALVARADO                     ST,"(34.0534, -118.2788)"
100211570,ROSEWOOD,KENMORE,"(34.079, -118.2967)"
100211575,6TH                          ST,UNION                        AV,"(34.0573, -118.2691)"
100211577,RAMPART                      BL,3RD                          ST,"(34.0663, -118.2789)"
100211579,8TH                          ST,ALVARADO                     ST,"(34.0549, -118.2778)"
100211581,8TH                          ST,ALVARADO                     ST,"(34.0549, -118.2778)"
100211595,LAKE                         ST,ALVARADO                     ST,"(34.0547, -118.2772)"
100211635,7TH,LAKE                         ST,"(34.057, -118.2779)"
100211645,BEAUDRY,SUNSET                       BL,"(34.0652, -118.2492)"
100211650,8TH,ALVARADO,"(34.0549, -118.2778)"
100211663,WESTERN,PICO,"(34.0472, -118.309)"
100211678,EDGEWARE                     ST,COURT                        ST,"(34.0648, -118.2558)"
100211687,BEVERLY                      BL,KENMORE,"(34.0763, -118.2966)"
100211693,WILSHIRE                     BL,BIXEL,"(34.0524, -118.2633)"
100211702,WILSHIRE,CORONADO,"(34.0609, -118.2823)"
100211707,BEACON                       AV,11TH                         ST,"(34.0483, -118.2763)"
100211731,BONNIE BRAE                  ST,6TH                          ST,"(34.0585, -118.2736)"
100211797,SANTA MONICA,WILLOW BROOK,"(34.0888, -118.2881)"
100211804,2ND                          ST,BENTON                       WY,"(34.0689, -118.2783)"
100211821,7TH                          ST,LITTLE,"(34.0547, -118.2729)"
100211826,WILSHIRE                     BL,CORONADO                     ST,"(34.0605, -118.2814)"
100211841,7TH                          ST,BURLINGTON,"(34.055, -118.2735)"
100211843,ALVARADO                     ST,JAMES M WOOD,"(34.0534, -118.2788)"
100211875,SANTA MONICA,VERMONT,"(34.0909, -118.2917)"
100211876,7TH                          ST,BURLINGTON                   AV,"(34.055, -118.2735)"
100211883,6TH                          ST,BONNIE BRAE,"(34.0585, -118.2725)"
100211884,6TH                          ST,BONNIE BRAE,"(34.0585, -118.2725)"
100211886,5TH                          ST,BONNIE BRAE,"(34.0593, -118.2719)"
100211898,ALVARADO                     ST,KENT                         ST,"(34.0752, -118.2649)"
100211907,WILSHIRE                     BL,LUCAS,"(34.053, -118.2648)"
100211946,SUNSET                       BL,ALVARADO,"(34.0776, -118.2635)"
100211951,11TH                         PL,BONNIE BRAE,"(34.0493, -118.2786)"
100211956,11TH                         ST,WESTLAKE                     AV,"(34.0498, -118.2797)"
100211965,BIXEL,TEMPLE,"(34.0659, -118.2538)"
100212030,8TH                          ST,ALVARADO,"(34.0549, -118.2778)"
100212035,8TH                          ST,GARLAND                      AV,"(34.0496, -118.2677)"
100212045,WESTLAKE,7TH                          ST,"(34.0559, -118.2751)"
100212074,UNION                        AV,BEVERLY                      BL,"(34.0637, -118.2662)"
100212104,OLYMPIC                      BL,ALVARADO                     ST,"(34.0517, -118.2798)"
100212114,7TH                          ST,ALVARADO                     ST,"(34.0565, -118.2768)"
100212139,KENT                         ST,ALVARADO                     ST,"(34.0745, -118.2654)"
100212146,VERMONT,BEVERLY,"(34.0777, -118.2917)"
100212148,ALVARADO,BEVERLY,"(34.0693, -118.2687)"
100212178,11TH,GRAND VIEW,"(34.0512, -118.2829)"
100212181,BONNIE BRAE,8TH                          ST,"(34.0539, -118.2756)"
100212185,7TH                          ST,ALVARADO                     ST,"(34.057, -118.2779)"
100212267,UNION,6TH,"(34.0569, -118.2689)"
100212225,CARONDELET                   ST,8TH                          ST,"(34.0568, -118.2821)"
100212231,8TH,ALVARADO,"(34.0549, -118.2778)"
100212247,BEVERLY,HELIOTROPE,"(34.0763, -118.2956)"
100212259,CORONADO,JAMES M WOOD,"(34.0558, -118.2841)"
100212270,SUNSET                       BL,ECHO PARK,"(34.0768, -118.2573)"
100212280,8TH                          ST,UNION                        AV,"(34.0523, -118.2722)"
100212281,VIRGIL,BURNS,"(34.0877, -118.2869)"
100212305,ALVARADO                     ST,3RD                          ST,"(34.0613, -118.2738)"
100212344,TEMPLE                       ST,ALVARADO,"(34.0703, -118.268)"
100212365,ALVARADO,PICO,"(34.0455, -118.2806)"
100212373,ALVARADO                     ST,WILSHIRE,"(34.058, -118.2759)"
100212405,8TH                          ST,BURLINGTON                   AV,"(34.0534, -118.2745)"
100212470,PARK                         AV,ECHO PARK                    AV,"(34.0748, -118.2586)"
100212491,3RD                          ST,WITMER,"(34.0591, -118.2635)"
100212492,6TH                          ST,BONNIE BRAE,"(34.0585, -118.2725)"
100212499,3RD                          ST,WITMER                       ST,"(34.0591, -118.2635)"
100212500,3RD                          ST,WITMER                       ST,"(34.0591, -118.2635)"
100212507,3RD                          ST,GRAND VIEW                   ST,"(34.064, -118.2747)"
100212527,7TH,PARK VIEW,"(34.0582, -118.2805)"
100212539,VENICE,HOOVER,"(34.0438, -118.2841)"
100212540,PICO,UNION,"(34.0446, -118.2769)"
100212544,TEMPLE                       ST,EDGEWARE,"(34.0667, -118.2546)"
100212550,WILSHIRE,VALENCIA,"(34.0546, -118.2684)"
100212576,6TH                          ST,CORONADO,"(34.062, -118.2804)"
100212578,SUNSET,LAVETA                       TR,"(34.0763, -118.2562)"
100212582,COURT                        ST,BONNIE BRAE,"(34.0683, -118.2663)"
100212595,3RD                          ST,BONNIE BRAE                  ST,"(34.0619, -118.2702)"
100212596,3RD                          ST,BURLINGTON                   AV,"(34.0613, -118.2689)"
100212601,11TH                         ST,BEACON,"(34.0483, -118.2763)"
100212606,CORONADO,LONDON,"(34.074, -118.2723)"
100212652,ALVARADO                     ST,8TH                          ST,"(34.0549, -118.2778)"
100212653,ALVARADO                     ST,8TH                          ST,"(34.0549, -118.2778)"
100212665,WILSHIRE                     BL,WITMER                       ST,"(34.0538, -118.2667)"
100212691,8TH                          ST,ALVARADO                     ST,"(34.0549, -118.2778)"
100212697,8TH                          ST,BEACON                       AV,"(34.0529, -118.2733)"
100212707,7TH                          ST,PARK VIEW                    ST,"(34.0582, -118.2805)"
100212754,CLINTON,BELMONT,"(34.073, -118.264)"
100212780,CARONDELET,3RD                          ST,"(34.0651, -118.2768)"
100212782,WILSHIRE,CARONDELET,"(34.0601, -118.2795)"
100212787,INGRAHAM                     ST,VALENCIA                     AV,"(34.0539, -118.2689)"
100212800,7TH,BIXEL,"(34.0509, -118.2642)"
100212803,PARK VIEW,6TH                          ST,"(34.0609, -118.278)"
100212808,PARK VIEW,6TH                          ST,"(34.0609, -118.278)"
100212811,TEMPLE,ALVARADO,"(34.0703, -118.268)"
100212822,7TH                          ST,BEACON                       AV,"(34.0544, -118.2723)"
100212830,8TH                          ST,ALVARADO                     ST,"(34.0549, -118.2778)"
100212842,INGRAHAM                     ST,VALENCIA,"(34.0539, -118.2689)"
100212863,6TH                          ST,ALVARADO                     ST,"(34.0596, -118.2749)"
100212877,3RD                          ST,BIXEL,"(34.0576, -118.2598)"
100212886,SUNSET                       BL,ECHO PARK,"(34.0768, -118.2573)"
100212893,NORMANDIE                    AV,MONROE,"(34.0856, -118.3005)"
100212898,OLYMPIC,UNION,"(34.0495, -118.2748)"
100216236,LEMOYNE,PARK,"(34.0776, -118.2594)"
100212931,EDGEMONT,MELROSE                      AV,"(34.0836, -118.296)"
100212933,3RD                          ST,UNION                        PL,"(34.0606, -118.2672)"
100212958,PICO                         BL,BONNIE BRAE                  AV,"(34.0462, -118.2803)"
100213009,CARONDELET,8TH,"(34.0568, -118.2821)"
100213010,7TH,ALVARADO,"(34.0565, -118.2768)"
100213021,BURLINGTON                   AV,7TH                          ST,"(34.0534, -118.2745)"
100213026,BONNIE BRAE,JAMES M WOOD,"(34.0507, -118.2776)"
100213027,BONNIE BRAE,JAMES M WOOD,"(34.0507, -118.2776)"
100213032,8TH                          ST,BONNIE BRAE                  AV,"(34.0539, -118.2756)"
100213033,GLENDALE                     AV,SUNSET                       BL,"(34.0781, -118.2605)"
100213050,VERMONT,110FWY,"(34.08, -118.2881)"
100213084,6TH                          ST,UNION                        AV,"(34.0569, -118.2689)"
100213085,TEMPLE                       ST,ALVARADO                     BL,"(34.0703, -118.268)"
100213086,2ND                          ST,COLUMBIA                     AV,"(34.0612, -118.2628)"
100213095,BEAUDRY                      AV,6TH                          ST,"(34.0529, -118.2596)"
100213102,8TH                          ST,ALVARADO,"(34.0549, -118.2778)"
100213116,SUNSET,GLENDALE                     AV,"(34.0781, -118.2605)"
100213139,UNION                        AV,7TH                          ST,"(34.0539, -118.2712)"
100213149,3RD                          ST,BONNIE BRAE                  ST,"(34.0625, -118.2714)"
100213198,TEMPLE,BIXEL,"(34.0659, -118.2538)"
100213227,PICO                         BL,ALVARADO                     ST,"(34.0473, -118.2827)"
100213242,3RD                          ST,ALVARADO,"(34.0633, -118.2738)"
100213249,ALVARADO,WILSHIRE                     BL,"(34.058, -118.2759)"
100213291,JAMES M WOOD                 BL,WESTLAKE                     AV,"(34.0529, -118.2776)"
100213321,11TH                         ST,ALBANY                       ST,"(34.0464, -118.2721)"
100213332,NORMANDIE,BEVERLY,"(34.0763, -118.3004)"
100213341,OLYMPIC                      BL,ALVARADO                     BL,"(34.052, -118.2804)"
100213349,BURLINGTON                   AV,VENICE                       BL,"(34.0413, -118.2815)"
100213362,7TH                          ST,RAMPART                      BL,"(34.0594, -118.2833)"
100213369,SANTA MONICA,VERMONT,"(34.0909, -118.2917)"
100213374,BELLEVUE                     AV,GLENDALE                     BL,"(34.0706, -118.2614)"
100213387,6TH                          ST,ALVARADO                     BL,"(34.0596, -118.2749)"
100213392,7TH                          ST,ALVARADO                     ST,"(34.0565, -118.2768)"
100213400,ALEXANDRIA                   AV,BEVERLY                      BL,"(34.0763, -118.2982)"
100213403,RAMPART                      BL,2ND                          ST,"(34.0685, -118.2775)"
100213404,BELLEVUE,SUNSET                       BL,"(34.0654, -118.2506)"
100213417,14TH                         ST,TOBERMAN                     ST,"(34.043, -118.2779)"
100213440,UNION                        AV,8TH                          ST,"(34.0523, -118.2722)"
100213443,HOOVER                       ST,TEMPLE                       ST,"(34.0772, -118.2844)"
100213456,8TH                          ST,ALVARADO                     ST,"(34.0549, -118.2778)"
100213473,3RD,BIXEL,"(34.0576, -118.2598)"
100213474,BONNIE BRAE,PARK                         AV,"(34.0776, -118.2616)"
100213475,WILSHIRE                     BL,ALVARADO                     BL,"(34.058, -118.2759)"
100213481,7TH                          ST,CORONADO                     ST,"(34.059, -118.2824)"
100213485,6TH                          ST,UNION                        AV,"(34.0573, -118.2691)"
100213550,LAGUNA,ECHO PARK,"(34.0738, -118.2584)"
100213577,UNION,PICO,"(34.0446, -118.2769)"
100213603,PARK VIEW,8TH                          ST,"(34.0563, -118.2809)"
100213608,LILY CREST                   AV,EDGEMONT                     AV,"(34.088, -118.296)"
100213627,SANTA MONICA,VERMONT,"(34.0909, -118.2917)"
100213642,ALVARADO                     ST,7TH                          ST,"(34.056, -118.2771)"
100213659,ALEXANDRIA                   AV,MELROSE                      AV,"(34.0836, -118.2978)"
100213674,WESTLAKE                     AV,6TH                          ST,"(34.059, -118.2725)"
100213727,OLYMPIC,ALVARADO,"(34.0517, -118.2798)"
100213682,6TH                          ST,UNION                        AV,"(34.0569, -118.2689)"
100213684,UNION                        AV,11TH                         ST,"(34.0477, -118.2751)"
100213703,OAKWOOD                      AV,HELIOTROPE                   DR,"(34.0777, -118.2956)"
100213713,CLINTON,MADISON,"(34.0818, -118.2892)"
100213738,WESTLAKE                     BL,JAMES M WOOD,"(34.0512, -118.2787)"
100213739,TEMPLE                       ST,ALVARADO                     BL,"(34.0703, -118.268)"
100213753,7TH                          ST,UNION                        AV,"(34.0539, -118.2712)"
100213784,VENDOME,SUNSET,"(34.0843, -118.2743)"
100213789,6TH                          ST,ALVARADO                     BL,"(34.0601, -118.2761)"
100213806,8TH                          ST,BONNIE BRAE,"(34.0539, -118.2756)"
100213998,7TH                          ST,BONNIE BRAE                  ST,"(34.0554, -118.2745)"
100213881,6TH                          ST,WESTLAKE,"(34.059, -118.2725)"
100213908,6TH                          ST,BONNIE BRAE                  ST,"(34.0585, -118.2724)"
100213909,6TH                          ST,BONNIE BRAE                  ST,"(34.0585, -118.2724)"
100213916,8TH,UNION,"(34.0526, -118.2728)"
100213920,11TH                         ST,BURLINGTON                   AV,"(34.0491, -118.278)"
100213946,PICO                         BL,CONSTANCE                    ST,"(34.0451, -118.2779)"
100213949,7TH,ALVARADO,"(34.0565, -118.2768)"
100214010,WILSHIRE,WITMER,"(34.0538, -118.2667)"
100214013,CORONADO,TEMPLE,"(34.073, -118.2729)"
100214033,5TH                          ST,CORONADO                     ST,"(34.064, -118.2791)"
100214063,OLYMPIC                      BL,HOOVER                       ST,"(34.0524, -118.2842)"
100214065,BELLEVUE                     AV,SILVER LAKE                  BL,"(34.0784, -118.2791)"
100214071,VIRGIL,BEVERLY,"(34.0765, -118.2868)"
100214072,VIRGIL,BEVERLY,"(34.0765, -118.2868)"
100214073,SUNSET,PARKMAN,"(34.0829, -118.2733)"
100214094,LOMA,CROWN HILL,"(34.0606, -118.2648)"
100214109,SUNSET                       BL,ECHO PARK,"(34.0768, -118.2573)"
100214121,11TH                         ST,GRAND VIEW,"(34.0512, -118.2829)"
100214141,TEMPLE                       ST,ALVARADO                     BL,"(34.0703, -118.268)"
100214142,UNION                        AV,2ND                          ST,"(34.0627, -118.2651)"
100214157,BONNIE BRAE,TEMPLE                       ST,"(34.0706, -118.2648)"
100214162,LAKE                         ST,8TH                          ST,"(34.0554, -118.2789)"
100214199,SUNSET,ALVARADO,"(34.0776, -118.2635)"
100214255,ALVARADO                     ST,MARYLAND                     ST,"(34.0613, -118.2738)"
100214269,8TH                          ST,LAKE                         ST,"(34.0554, -118.2789)"
100214301,WESTLAKE,6TH                          ST,"(34.059, -118.2725)"
100214317,PARK VIEW,6TH                          ST,"(34.0609, -118.278)"
100214331,HOOVER                       ST,SANTA MONICA                 BL,"(34.0909, -118.2846)"
100214358,CONNECTICUT,11TH,"(34.0481, -118.2712)"
100214365,JAMES M WOOD,LAKE,"(34.0539, -118.2799)"
100214387,6TH                          ST,WITMER,"(34.0555, -118.2656)"
100214388,LOCKWOOD,MADISON,"(34.0887, -118.2893)"
100214404,MALTMAN                      AV,MARATHON                     ST,"(34.0832, -118.2812)"
100214415,TEMPLE                       ST,BENTON                       WY,"(34.0729, -118.2757)"
100214429,WILSHIRE                     BL,BIXEL,"(34.0524, -118.2633)"
100214437,ALVARADO                     BL,PICO                         BL,"(34.0455, -118.2806)"
100214440,WILSHIRE                     BL,ALVARADO                     ST,"(34.058, -118.2759)"
100214456,NORMANDIE                    AV,OAKWOOD                      AV,"(34.0777, -118.3004)"
100214465,7TH                          ST,8TH                          ST,"(34.2855, -118.4033)"
100214468,3RD                          ST,OCCIDENTAL                   BL,"(34.0677, -118.2821)"
100214471,BEVERLY                      BL,GLENDALE                     BL,"(34.062, -118.2596)"
100214472,BEVERLY                      BL,GLENDALE                     BL,"(34.062, -118.2596)"
100214529,HYANS,BENTON                       WY,"(34.0721, -118.2762)"
100214539,MARATHON,ROSEMONT,"(34.0768, -118.2667)"
100214593,2ND                          ST,LAFAYETTE PARK               PL,"(34.0692, -118.2792)"
100214597,7TH                          ST,PARK VIEW,"(34.0582, -118.2805)"
100214607,7TH                          ST,CORONADO                     ST,"(34.059, -118.2824)"
100214647,6TH                          ST,BURLINGTON,"(34.0579, -118.2711)"
100214693,6TH                          ST,WITMER,"(34.0555, -118.2656)"
100214702,WILSHIRE                     BL,CORONADO                     ST,"(34.0605, -118.2814)"
100214704,UNION,TEMPLE,"(34.0687, -118.2632)"
100214710,UNION,12TH                         ST,"(34.0462, -118.276)"
100214724,HELIOTROPE,BEVERLY                      BL,"(34.0763, -118.2956)"
100214726,MIRAMAR,ALVARADO,"(34.0639, -118.2721)"
100214728,UNION,OLYMPIC,"(34.0492, -118.2742)"
100214742,CARONDELET,7TH                          ST,"(34.0568, -118.2821)"
100214744,7TH,RAMPART,"(34.0594, -118.2833)"
100214784,JUANITA,MELROSE                      AV,"(34.0836, -118.2905)"
100214789,ECHO PARK,SUNSET                       BL,"(34.0768, -118.2573)"
100214794,BURNS                        AV,VIRGIL                       AV,"(34.0877, -118.2869)"
100214804,5TH,BURLINGTON,"(34.0593, -118.2719)"
100214812,EMERALD                      AV,LUCAS,"(34.0598, -118.2607)"
100214815,HOOVER                       BL,BURNS                        AV,"(34.0877, -118.2845)"
100214833,8TH                          ST,BIXEL,"(34.0496, -118.265)"
100214853,ALVARADO                     ST,WILSHIRE                     BL,"(34.058, -118.2759)"
100214866,ALVARADO                     ST,WILSHIRE                     BL,"(34.058, -118.2759)"
100214868,BONNIE BRAE,18TH                         ST,"(34.0413, -118.2829)"
100214869,HOOVER,SANBORN,"(34.0867, -118.2845)"
100214905,UNION                        AV,TEMPLE                       ST,"(34.0687, -118.2632)"
100214906,UNION                        AV,TEMPLE                       ST,"(34.0687, -118.2632)"
100214918,6TH                          ST,PARK VIEW,"(34.0609, -118.278)"
100214947,8TH,CARONDELET,"(34.0568, -118.2821)"
100215010,3RD                          ST,BONNIE BRAE                  AV,"(34.0619, -118.2702)"
100215016,ALVARADO,COURT,"(34.0657, -118.268)"
100215023,SUNSET,BEAUDRY,"(34.0652, -118.2492)"
100215025,6TH,ALVARADO,"(34.0596, -118.2749)"
100215051,7TH,ALVARADO,"(34.0565, -118.2768)"
100215064,ALVARADO                     ST,OLYMPIC                      BL,"(34.0517, -118.2798)"
100215066,3RD                          ST,OCCIDENTAL                   BL,"(34.0677, -118.2821)"
100215102,BURLINGTON,MARYLAND,"(34.0596, -118.27)"
100215114,GLENDALE                     BL,BEVERLY                      BL,"(34.062, -118.2596)"
100215120,6TH                          ST,ALVARADO                     ST,"(34.0601, -118.2761)"
100215130,TEMPLE                       ST,UNION                        AV,"(34.0687, -118.2632)"
100215133,ALVARADO,BEVERLY                      BL,"(34.0693, -118.2687)"
100215142,7TH                          ST,RAMPART,"(34.0594, -118.2833)"
100215172,RAMPART                      BL,BEVERLY                      BL,"(34.071, -118.2759)"
100215144,8TH                          ST,CARONDELET                   ST,"(34.0568, -118.2821)"
100215154,DILLON                       ST,LONDON                       ST,"(34.0776, -118.2797)"
100215161,LUCAS                        AV,2ND                          ST,"(34.0609, -118.26)"
100215168,8TH                          ST,UNION                        AV,"(34.0526, -118.2728)"
100215184,6TH                          ST,LOMA,"(34.0566, -118.2681)"
100215218,7TH                          ST,BONNIE BRAE,"(34.0554, -118.2745)"
100215210,MIRAMAR,BONNIE BRAE,"(34.1289, -117.7115)"
100215215,8TH,ALVARADO,"(34.0549, -118.2778)"
100215216,SUNSET                       BL,VENDOME,"(34.0843, -118.2743)"
100215228,WILSHIRE,BURLINGTON,"(34.0564, -118.2725)"
100215231,BONNIE BRAE                  ST,COURT                        ST,"(34.0694, -118.2655)"
100215232,ALVARADO                     BL,MARYLAND                     ST,"(34.0613, -118.2738)"
100215253,UNION                        DR,6TH                          ST,"(34.0569, -118.2689)"
100215261,JAMES M WOOD,BEACON                       AV,"(34.0514, -118.2743)"
100215276,WASHINGTON,UNION,"(34.0393, -118.2828)"
100215277,VERMONT                      AV,SANTA MONICA,"(34.0909, -118.2917)"
100215284,3RD                          ST,WESTLAKE,"(34.0625, -118.2714)"
100215359,6TH                          ST,BURLINGTON,"(34.0579, -118.2711)"
100215437,7TH                          ST,WITMER                       AV,"(34.0523, -118.2676)"
100215454,11TH                         ST,BURLINGTON                   AV,"(34.0491, -118.278)"
100215456,UNION,6TH,"(34.0569, -118.2689)"
100215469,BEACON,7TH,"(34.0529, -118.2733)"
100215470,BEACON,8TH,"(34.0529, -118.2733)"
100215491,VALLEY                       ST,ALVARADO                     ST,"(34.0653, -118.2725)"
100215517,JAMES M WOOD,GRATTAN,"(34.0504, -118.2722)"
100215531,BEVERLY                      BL,WESTLAKE,"(34.066, -118.2689)"
100215535,7TH                          ST,WESTLAKE,"(34.0562, -118.2762)"
100215536,17TH                         ST,BONNIE BRAE                  ST,"(34.0423, -118.2829)"
100215537,VIRGIL                       AV,MELROSE                      AV,"(34.0836, -118.2868)"
100215557,ALVARADO                     BL,3RD                          ST,"(34.0613, -118.2738)"
100215566,MARYLAND,ALVARADO                     BL,"(34.0613, -118.2738)"
100215568,6TH                          ST,BURLINGTON                   AV,"(34.0579, -118.2711)"
100215596,2ND                          ST,BENTON                       WY,"(34.0689, -118.2783)"
100215600,SUNSET                       BL,ECHO PARK,"(34.0768, -118.2573)"
100215612,COLTON,GLENDALE,"(34.0644, -118.2609)"
100215644,PICO                         BL,ALBANY                       ST,"(34.0433, -118.274)"
100215654,12TH                         ST,UNION                        AV,"(34.0473, -118.2784)"
100215688,SUNSET                       ST,MOHAWK                       AV,"(34.0775, -118.2653)"
100215689,6TH                          ST,BONNIE BRAE                  ST,"(34.0585, -118.2725)"
100215692,VIRGIL,LOCKWOOD,"(34.0887, -118.2869)"
100215717,7TH                          ST,BONNIE BRAE                  ST,"(34.0554, -118.2745)"
100215735,14TH                         ST,CONSTANCE,"(34.0435, -118.2779)"
100215738,SUNSET                       BL,ALVARADO,"(34.0776, -118.2635)"
100215768,3RD                          ST,CORONADO                     ST,"(34.0663, -118.2789)"
100215810,7TH                          ST,ALVARADO                     ST,"(34.057, -118.2779)"
100215818,LOMA                         DR,3RD                          ST,"(34.0584, -118.2669)"
100215819,GARLAND                      AV,JAMES M WOOD                 BL,"(34.0487, -118.2683)"
100215820,GARLAND                      AV,JAMES M WOOD                 BL,"(34.0487, -118.2683)"
100215821,WILSHIRE                     BL,WESTLAKE                     AV,"(34.0574, -118.2736)"
100215831,CROWN HILL                   AV,2ND                          ST,"(34.0613, -118.2653)"
100215833,CROWN HILL                   AV,2ND                          ST,"(34.0613, -118.2653)"
100215836,SUNSET                       AV,ECHO PARK                    AV,"(34.0768, -118.2573)"
100215841,6TH,ALVARADO,"(34.0596, -118.2749)"
100215847,UNION                        AV,7TH                          ST,"(34.0539, -118.2712)"
100215861,4TH                          ST,UNION                        AV,"(34.0601, -118.2684)"
100215866,2ND                          ST,BEAUDRY,"(34.0579, -118.2553)"
100215887,OLYMPIC                      BL,ALVARADO                     BL,"(34.0517, -118.2798)"
100215891,RAMPART                      BL,BEVERLY                      BL,"(34.071, -118.2759)"
100215893,ROMAINE                      ST,NORMANDIE                    AV,"(34.0886, -118.3005)"
100215921,WASHINGTON                   BL,UNION                        AV,"(34.0385, -118.2811)"
100215929,7TH,CORONADO,"(34.059, -118.2824)"
100215934,7TH                          ST,ALVARADO                     BL,"(34.0565, -118.2768)"
100216001,VENICE                       BL,UNION                        AV,"(34.0419, -118.2799)"
100216006,3RD                          ST,OCCIDENTAL,"(34.0677, -118.2821)"
100216009,WASHINGTON                   AV,UNION                        AV,"(34.0385, -118.2811)"
100216046,ALVARADO                     ST,8TH                          ST,"(34.0549, -118.2778)"
100216100,RENO                         ST,BEVERLY                      BL,"(34.0729, -118.2803)"
100216116,6TH                          ST,BONNIE BRAE,"(34.0585, -118.2724)"
100216120,BONNIE BRAE,5TH                          ST,"(34.0593, -118.2719)"
100216125,7TH                          ST,ALVARADO                     AV,"(34.0565, -118.2768)"
100216168,WILSHIRE,ALVARADO,"(34.0597, -118.2795)"
100216170,6TH                          ST,ALVARADO                     ST,"(34.0601, -118.2761)"
100216195,ALVARADO                     BL,PICO                         BL,"(34.0455, -118.2806)"
100216196,2ND                          ST,LA FAYETTE P                 WY,"(34.0697, -118.2779)"
100216202,GLENDALE                     BL,COURT,"(34.0621, -118.2619)"
100216205,8TH                          ST,PARK VIEW                    AV,"(34.0563, -118.2809)"
100216208,GLENDALE                     BL,BELLEVUE,"(34.0706, -118.2614)"
100216218,SUNSET                       BL,DESCANSO                     ST,"(34.0854, -118.2748)"
100216231,BELLEVUE,MICHELTORENA                 ST,"(34.0792, -118.2811)"
100216243,6TH                          ST,BEAUDRY,"(34.0529, -118.2596)"
100216244,VERMONT                      AV,MELROSE                      AV,"(34.0836, -118.2917)"
100216254,VERMONT                      BL,MELROSE                      AV,"(34.0836, -118.2917)"
100216275,BEVERLY,BONNIE BRAE,"(34.0656, -118.2678)"
100216385,MADISON,BURNS,"(34.0877, -118.2893)"
100216386,ALVARADO                     ST,6TH                          ST,"(34.0596, -118.2749)"
100216438,TEMPLE,ALVARADO,"(34.0703, -118.268)"
100216441,LARISSA                      DR,DESCANSO,"(34.0866, -118.2764)"
100216442,SANBORN                      AV,VENANGO                      CI,"(34.0902, -118.2818)"
100216461,MARATHON,VENDOME,"(34.0811, -118.2763)"
100216505,JAMES M WOOD                 BL,ALVARADO                     ST,"(34.0534, -118.2788)"
100216507,6TH                          ST,ALVARADO                     ST,"(34.0601, -118.2761)"
100216508,SUNSET                       BL,MICHELTORENA                 ST,"(34.0875, -118.2758)"
100216525,12TH                         ST,VALENCIA                     AV,"(34.0454, -118.2742)"
100216526,RAMPART                      BL,6TH                          ST,"(34.0624, -118.2813)"
100216540,OAKWOOD,BERENDO                      ST,"(34.0777, -118.2944)"
100216548,6TH                          ST,ALVARADO,"(34.0596, -118.2749)"
100216551,11TH                         ST,UNION,"(34.0477, -118.2751)"
100216559,TEMPLE,CORONADO,"(34.0721, -118.2735)"
100216570,8TH                          ST,UNION                        AV,"(34.0523, -118.2722)"
100216619,PARK VIEW,6TH                          ST,"(34.0609, -118.278)"
100216577,7TH                          ST,ALVARADO                     ST,"(34.0565, -118.2768)"
100216583,HOOVER                       ST,11TH                         AV,"(34.0514, -118.2842)"
100216608,BURLINGTON,3RD                          ST,"(34.0613, -118.2689)"
100216621,7TH                          ST,BEAUDRY                      AV,"(34.0542, -118.2611)"
100216662,HOOVER,ALVARADO,"(34.0453, -118.2842)"
100216675,OLYMPIC                      BL,UNION                        AV,"(34.0495, -118.2748)"
100216677,OLYMPIC                      BL,UNION                        AV,"(34.0495, -118.2748)"
100216680,8TH                          ST,WESTLAKE                     AV,"(34.0544, -118.2767)"
100216717,SUNSET                       BL,HYPERION                     AV,"(34.0917, -118.2796)"
100216726,CORONADO,TEMPLE                       ST,"(34.073, -118.2729)"
100216740,6TH                          ST,UNION                        AV,"(34.0569, -118.2689)"
100216825,TEMPLE,UNION,"(34.0687, -118.2632)"
100216827,BONNIE BRAE,6TH                          ST,"(34.0585, -118.2724)"
100216839,6TH,LAKE,"(34.0601, -118.2761)"
100216866,SUNSET,ECHO PARK,"(34.0768, -118.2573)"
100216909,ALVARADO,PICO,"(34.0455, -118.2806)"
100216871,UNION,8TH                          ST,"(34.0523, -118.2722)"
100216878,VIRGIL,BURNS,"(34.0877, -118.2869)"
100216894,SUNSET                       BL,ALVARADO                     BL,"(34.0776, -118.2635)"
100216895,7TH                          ST,ALVARADO                     BL,"(34.0565, -118.2768)"
100216896,3RD                          ST,CORONADO                     ST,"(34.0657, -118.278)"
100216919,TEMPLE                       ST,RAMPART                      BL,"(34.0726, -118.2749)"
100216970,VERMONT                      AV,MARATHON,"(34.0857, -118.2917)"
100216971,VERMONT                      AV,MARATHON,"(34.0857, -118.2917)"
